1|2025-06-03 20:14:38|김치알밥 <4> 제육덮밥 <3> 육회비빔밥 <2>|43500
2|2025-06-03 20:14:46|육회비빔밥 <1>|5000
3|2025-06-03 20:14:53|김치알밥 <4> 제육덮밥 <3> 돈가스 <2>|41500
4|2025-06-03 20:14:57|제육덮밥 <3> 김치알밥 <2> 돈가스 <2>|31500
5|2025-06-03 20:15:04|돈가스 <2> 제육덮밥 <2> 김치알밥 <2>|27000
6|2025-06-03 20:15:07|제육덮밥 <2> 김치알밥 <1>|14000
7|2025-06-04 00:39:11|제육덮밥 <7>|31500
8|2025-06-04 00:56:32|카레 <3>|18000
9|2025-06-04 01:53:21|카레 <3> 김치알밥 <2>|28000
10|2025-06-05 01:38:17|최루탄라면 <1> 콩국수 <2> 김치볶음밥 <1> 만두라면 <1>|24500
11|2025-06-05 03:22:18|만두라면 <2>|8000
12|2025-06-05 03:23:23|육회비빔밥 <1>|5000
13|2025-06-05 09:10:06|돈가스 <2>|8000
14|2025-06-05 14:06:32|카레 <23>|138000
15|2025-06-05 14:07:42|김치볶음밥 <1>|7000
16|2025-06-05 14:12:33|김치알밥 <1>|5000
17|2025-06-05 21:34:12|김치알밥 <3>|15000
18|2025-06-05 21:34:20|김치알밥 <16>|80000
19|2025-06-05 22:29:50|쟁반수육 <10>|55000
20|2025-06-05 23:19:25|콩국수 <1>|5000
21|2025-06-05 23:32:30|카레 <2>|12000
22|2025-06-05 23:35:15|김치알밥 <2>|10000
23|2025-06-05 23:55:11|제육덮밥 <2>|9000
24|2025-06-06 00:24:17|돈가스 <7>|28000
25|2025-06-06 00:24:30|최루탄라면 <39>|136500
